Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                  95",-1.881928976918e-01,-2.033943053396e-01,-8.878806176350e-02,-1.146062435761e-01,1.290909090629e-02
"                  96",-1.872240161579e-01,-2.016773436295e-01,-8.795986756743e-02,-1.137174760621e-01,1.287880424734e-02
"                  97",-1.865759119336e-01,-2.000648200924e-01,-8.718010574597e-02,-1.128847143464e-01,1.285230430022e-02
"                  98",-1.860921753295e-01,-1.983251524304e-01,-8.632410416228e-02,-1.120010482681e-01,1.283847205293e-02
"                  99",-1.852771100613e-01,-1.962124305017e-01,-8.530187406088e-02,-1.109105564408e-01,1.280434118998e-02
"                 100",-1.839523924283e-01,-1.938267169990e-01,-8.420171550228e-02,-1.096250014967e-01,1.271164299719e-02
"                 101",-1.821947606638e-01,-1.914333241329e-01,-8.316855809776e-02,-1.082647660352e-01,1.254810396871e-02
"                 102",-1.802506122618e-01,-1.889959664213e-01,-8.213218867900e-02,-1.068637777423e-01,1.236579453165e-02
"                 103",-1.784714956723e-01,-1.870254762313e-01,-8.132467529245e-02,-1.057008009388e-01,1.218806282319e-02
"                 104",-1.768611993495e-01,-1.857653692354e-01,-8.087186364121e-02,-1.048935055942e-01,1.201082097648e-02
"                 105",-1.752067850838e-01,-1.849719067892e-01,-8.069132000117e-02,-1.042805867880e-01,1.179463339343e-02
"                 106",-1.733725217717e-01,-1.842390245568e-01,-8.059801567486e-02,-1.036410088819e-01,1.152149660354e-02
"                 107",-1.715047555486e-01,-1.835215960309e-01,-8.053298719403e-02,-1.029886088369e-01,1.122781082141e-02
"                 108",-1.698223044722e-01,-1.830216962352e-01,-8.057773148156e-02,-1.024439647536e-01,1.093311663602e-02
"                 109",-1.682947559252e-01,-1.831264941682e-01,-8.094312917904e-02,-1.021833649892e-01,1.062011790507e-02
"                 110",-1.668159286075e-01,-1.837438524543e-01,-8.157364935948e-02,-1.021702030948e-01,1.029827686766e-02
"                 111",-1.653066923920e-01,-1.845465408571e-01,-8.228451766212e-02,-1.022620231950e-01,9.988752766426e-03
"                 112",-1.640420910779e-01,-1.854626970660e-01,-8.298399300307e-02,-1.024787040629e-01,9.747355529916e-03
"                 113",-1.632929885354e-01,-1.866249698503e-01,-8.372635737080e-02,-1.028986124795e-01,9.586127554367e-03
"                 114",-1.630667803582e-01,-1.880577693124e-01,-8.456617460684e-02,-1.034915947055e-01,9.462710049347e-03
"                 115",-1.629430614043e-01,-1.898538831270e-01,-8.559405039435e-02,-1.042598327326e-01,9.332891169135e-03
"                 116",-1.629285959335e-01,-1.920378350382e-01,-8.681554147254e-02,-1.052222935656e-01,9.203376046551e-03
"                 117",-1.631115353649e-01,-1.942125147247e-01,-8.799276528719e-02,-1.062197494376e-01,9.113492075178e-03
"                 118",-1.637792661936e-01,-1.958216130263e-01,-8.878878684776e-02,-1.070328261786e-01,9.122019665406e-03
"                 119",-1.648043997476e-01,-1.966766277812e-01,-8.912225289708e-02,-1.075543748842e-01,9.216060993539e-03
"                 120",-1.660473832066e-01,-1.974778319870e-01,-8.939348834102e-02,-1.080843436460e-01,9.345427652488e-03
"                 121",-1.676384439493e-01,-1.989805288454e-01,-8.998769429800e-02,-1.089928345474e-01,9.502570124702e-03
"                 122",-1.696550925145e-01,-2.009625209103e-01,-9.078023793573e-02,-1.101822829746e-01,9.701022519415e-03
"                 123",-1.715752269075e-01,-2.024507315224e-01,-9.130697391151e-02,-1.111437576109e-01,9.918391849711e-03
"                 124",-1.733138559367e-01,-2.031227914660e-01,-9.142519952372e-02,-1.116975919423e-01,1.013619620927e-02
"                 125",-1.748154826659e-01,-2.029713746984e-01,-9.115407588541e-02,-1.118172988130e-01,1.033161146380e-02
"                 126",-1.761116963443e-01,-2.023303692607e-01,-9.064843573729e-02,-1.116819335234e-01,1.051674889306e-02
"                 127",-1.773684146527e-01,-2.016613723339e-01,-9.011935161732e-02,-1.115420207166e-01,1.071133454964e-02
"                 128",-1.785452719824e-01,-2.011404561935e-01,-8.966340794907e-02,-1.114770482444e-01,1.090682014768e-02
"                 129",-1.798428346983e-01,-2.007276898156e-01,-8.927320282213e-02,-1.114544869935e-01,1.109064208569e-02
"                 130",-1.812065375678e-01,-2.001628947597e-01,-8.883689566920e-02,-1.113259990905e-01,1.124455171063e-02
"                 131",-1.824337040742e-01,-1.993187313670e-01,-8.830071229038e-02,-1.110180190766e-01,1.135865339312e-02
"                 132",-1.835459828548e-01,-1.984668603197e-01,-8.776973410283e-02,-1.106971262168e-01,1.146369605700e-02
"                 133",-1.843734221859e-01,-1.978172214716e-01,-8.739265381370e-02,-1.104245676579e-01,1.151595692208e-02
"                 134",-1.850775821263e-01,-1.975115951891e-01,-8.720392578775e-02,-1.103076694013e-01,1.155187180679e-02
"                 135",-1.856451113487e-01,-1.972435760199e-01,-8.703740337048e-02,-1.102061726495e-01,1.158438463949e-02
"                 136",-1.860871983090e-01,-1.970396355832e-01,-8.690211579696e-02,-1.101375197863e-01,1.161770199467e-02
"                 137",-1.866094651183e-01,-1.970944434268e-01,-8.691289259282e-02,-1.101815508339e-01,1.163432912057e-02
"                 138",-1.875093098922e-01,-1.973737275275e-01,-8.700184513312e-02,-1.103718823944e-01,1.168501863065e-02
"                 139",-1.885442147172e-01,-1.978992004757e-01,-8.722144843733e-02,-1.106777520384e-01,1.172815180053e-02
"                 140",-1.891082104589e-01,-1.984802009805e-01,-8.753232305673e-02,-1.109478779238e-01,1.170777743352e-02
"                 141",-1.891045462520e-01,-1.990598968104e-01,-8.790392021243e-02,-1.111559765980e-01,1.162602819279e-02
"                 142",-1.888072833329e-01,-1.995837926212e-01,-8.824978997747e-02,-1.113340026437e-01,1.154210633314e-02
"                 143",-1.888278165307e-01,-2.002759471874e-01,-8.863008157600e-02,-1.116458656114e-01,1.150789201768e-02
"                 144",-1.892582897399e-01,-2.009019346216e-01,-8.890457660567e-02,-1.119973580159e-01,1.154639070513e-02
"                 145",-1.899007220489e-01,-2.015034462003e-01,-8.915098190807e-02,-1.123524642922e-01,1.160074119207e-02
"                 146",-1.904628820629e-01,-2.019990020762e-01,-8.933940613061e-02,-1.126595959456e-01,1.166009490751e-02
"                 147",-1.906777367141e-01,-2.025093738051e-01,-8.956729149616e-02,-1.129420823089e-01,1.168739540636e-02
"                 148",-1.904302927576e-01,-2.027723338639e-01,-8.969512508493e-02,-1.130772087790e-01,1.169104184704e-02
"                 149",-1.899537372668e-01,-2.029378662649e-01,-8.978895595116e-02,-1.131489103137e-01,1.167997718128e-02
"                 150",-1.894902599921e-01,-2.031397007919e-01,-8.989171728944e-02,-1.132479835025e-01,1.167813310651e-02
"                 151",-1.892305412541e-01,-2.035379969728e-01,-9.008128533202e-02,-1.134567116408e-01,1.168771315438e-02
"                 152",-1.889307980133e-01,-2.039916226521e-01,-9.032231361674e-02,-1.136693090354e-01,1.167349770932e-02
"                 153",-1.887717956992e-01,-2.042335009195e-01,-9.041975283094e-02,-1.138137480885e-01,1.169699762880e-02
"                 154",-1.886845145694e-01,-2.040618349433e-01,-9.029240948516e-02,-1.137694254581e-01,1.173850798646e-02
"                 155",-1.888823260535e-01,-2.036055192045e-01,-8.997009799936e-02,-1.136354212051e-01,1.183266160287e-02
"                 156",-1.892380287729e-01,-2.029301671883e-01,-8.950606308697e-02,-1.134241041014e-01,1.195902050719e-02
"                 157",-1.894686565685e-01,-2.022842870085e-01,-8.910198078503e-02,-1.131823062234e-01,1.204016271921e-02
"                 158",-1.891195086228e-01,-2.017362584389e-01,-8.886898511472e-02,-1.128672733242e-01,1.199914410473e-02
"                 159",-1.882329891091e-01,-2.009977468964e-01,-8.863346050749e-02,-1.123642863889e-01,1.186541294071e-02
"                 160",-1.873514737464e-01,-2.000276008636e-01,-8.826672164761e-02,-1.117608792160e-01,1.174707878421e-02
"                 161",-1.866339218547e-01,-1.990344723132e-01,-8.783864607530e-02,-1.111958262379e-01,1.167859008127e-02
"                 162",-1.859363316890e-01,-1.981668782481e-01,-8.744262338258e-02,-1.107242548655e-01,1.164081574145e-02
"                 163",-1.851932874768e-01,-1.974391098750e-01,-8.711027918160e-02,-1.103288306934e-01,1.160927575589e-02
"                 164",-1.842779798751e-01,-1.967190274917e-01,-8.680288985052e-02,-1.099161376412e-01,1.155662389534e-02
"                 165",-1.833935424606e-01,-1.959157465739e-01,-8.644206750398e-02,-1.094736790700e-01,1.151580578299e-02
"                 166",-1.829277341170e-01,-1.953118673674e-01,-8.613791844846e-02,-1.091739489189e-01,1.151801523524e-02
"                 167",-1.830250522684e-01,-1.951934254984e-01,-8.603515127127e-02,-1.091582742271e-01,1.156156147792e-02
"                 168",-1.834145390765e-01,-1.955084669348e-01,-8.613552693620e-02,-1.093729399986e-01,1.161870653120e-02
"                 169",-1.837065422224e-01,-1.959583838328e-01,-8.633045956310e-02,-1.096279242697e-01,1.164873235329e-02
"                 170",-1.836396910112e-01,-1.962687991557e-01,-8.648458097124e-02,-1.097842181845e-01,1.164981860661e-02
"                 171",-1.837915390670e-01,-1.966198997357e-01,-8.660329720438e-02,-1.100166025313e-01,1.170665266347e-02
"                 172",-1.844248786191e-01,-1.971215708017e-01,-8.669985190564e-02,-1.104217188960e-01,1.186093349520e-02
"                 173",-1.851800009171e-01,-1.974592026961e-01,-8.667795513462e-02,-1.107812475615e-01,1.205164621345e-02
"                 174",-1.857044598511e-01,-1.976978324573e-01,-8.664847410757e-02,-1.110493583497e-01,1.220044212108e-02
"                 175",-1.859035914703e-01,-1.980457511357e-01,-8.673093316344e-02,-1.113148179723e-01,1.229194240442e-02
"                 176",-1.858186490085e-01,-1.984918798168e-01,-8.689551235035e-02,-1.115963674664e-01,1.235042755804e-02
"                 177",-1.855351023572e-01,-1.988242709838e-01,-8.700894135103e-02,-1.118153296327e-01,1.240319414085e-02
"                 178",-1.853035068964e-01,-1.990310549357e-01,-8.703119151668e-02,-1.119998634190e-01,1.248433595118e-02
"                 179",-1.852578687044e-01,-1.990658197060e-01,-8.692071511876e-02,-1.121451045873e-01,1.261219473426e-02
"                 180",-1.850458622119e-01,-1.986026046854e-01,-8.653279664132e-02,-1.120698080441e-01,1.276850570139e-02
"                 181",-1.846097900119e-01,-1.979745797990e-01,-8.607604939046e-02,-1.118985304085e-01,1.291124050904e-02
"                 182",-1.844881756835e-01,-1.977842323310e-01,-8.581756060814e-02,-1.119666717229e-01,1.307455555736e-02
"                 183",-1.844897002440e-01,-1.980638335199e-01,-8.581964295319e-02,-1.122441905667e-01,1.321227380677e-02
"                 184",-1.840413575657e-01,-1.985994282310e-01,-8.605207713781e-02,-1.125473510932e-01,1.324763697767e-02
"                 185",-1.829792037791e-01,-1.990004728964e-01,-8.631602911411e-02,-1.126844437823e-01,1.318420733408e-02
"                 186",-1.816466403418e-01,-1.994702062645e-01,-8.667074200989e-02,-1.127994642546e-01,1.306436112237e-02
"                 187",-1.802622460520e-01,-2.000026809002e-01,-8.706976607246e-02,-1.129329148277e-01,1.293157437764e-02
"                 188",-1.787873835919e-01,-2.003375765550e-01,-8.737541444591e-02,-1.129621621091e-01,1.279337383158e-02
"                 189",-1.772698027961e-01,-2.005705502430e-01,-8.762048159958e-02,-1.129500686434e-01,1.266479352193e-02
"                 190",-1.757516115755e-01,-2.006707167043e-01,-8.779886367476e-02,-1.128718530296e-01,1.253649467740e-02
"                 191",-1.745649889178e-01,-2.007222986455e-01,-8.791371248072e-02,-1.128085861648e-01,1.244743684202e-02
"                 192",-1.737658306168e-01,-2.009019445256e-01,-8.805115987353e-02,-1.128507846521e-01,1.239981238929e-02
"                 193",-1.730066320064e-01,-2.011085869294e-01,-8.821423259853e-02,-1.128943543309e-01,1.234006086616e-02
"                 194",-1.719263841804e-01,-2.011295733982e-01,-8.835701739527e-02,-1.127725560029e-01,1.220776930384e-02
"                 195",-1.707632197933e-01,-2.010178444370e-01,-8.849054094248e-02,-1.125273034946e-01,1.201838127604e-02
"                 196",-1.693775391092e-01,-2.009333101770e-01,-8.869888258351e-02,-1.122344275935e-01,1.176777250499e-02
"                 197",-1.679589581757e-01,-2.009081768018e-01,-8.894105141955e-02,-1.119671253823e-01,1.151303698136e-02
"                 198",-1.670357693967e-01,-2.011569943439e-01,-8.924381785506e-02,-1.119131764888e-01,1.133467931689e-02
"                 199",-1.666997411156e-01,-2.015805930439e-01,-8.954807099704e-02,-1.120325220469e-01,1.124222552490e-02
"                 200",-1.664824098107e-01,-2.018224467446e-01,-8.973033928284e-02,-1.120921074618e-01,1.118088408946e-02
"                 201",-1.660688445589e-01,-2.020428777841e-01,-8.991995514929e-02,-1.121229226348e-01,1.110148374277e-02
"                 202",-1.655484198294e-01,-2.023031799445e-01,-9.014052294902e-02,-1.121626569955e-01,1.101106702324e-02
"                 203",-1.649895041728e-01,-2.024580306584e-01,-9.029804590139e-02,-1.121599847570e-01,1.093096942779e-02
"                 204",-1.647010333078e-01,-2.025489978469e-01,-9.035936012032e-02,-1.121896377265e-01,1.091513880311e-02
"                 205",-1.645550619907e-01,-2.025781465783e-01,-9.032731207645e-02,-1.122508345018e-01,1.096176121269e-02
"                 206",-1.644007030856e-01,-2.023067486112e-01,-9.010653722869e-02,-1.122002113825e-01,1.104683707691e-02
"                 207",-1.641849227772e-01,-2.019595499467e-01,-8.985640425317e-02,-1.121031456936e-01,1.112337072020e-02
"                 208",-1.639724479820e-01,-2.015846608510e-01,-8.962416732732e-02,-1.119604935237e-01,1.116816309819e-02
"                 209",-1.637018136532e-01,-2.012243595751e-01,-8.941616405855e-02,-1.118081955165e-01,1.119601572900e-02
"                 210",-1.631643242555e-01,-2.007962604343e-01,-8.919594376256e-02,-1.116003166717e-01,1.120218645457e-02
"                 211",-1.624949431888e-01,-2.003969841795e-01,-8.898197946452e-02,-1.114150047150e-01,1.121651262522e-02
"                 212",-1.617302832973e-01,-2.000895393232e-01,-8.883817661547e-02,-1.112513627077e-01,1.120659304612e-02
"                 213",-1.611493352312e-01,-1.999337315646e-01,-8.873399275920e-02,-1.111997388054e-01,1.123287302310e-02
"                 214",-1.609640001011e-01,-1.997546537622e-01,-8.860606548939e-02,-1.111485882728e-01,1.127126139171e-02
"                 215",-1.612493546637e-01,-1.997438964850e-01,-8.852858714301e-02,-1.112153093420e-01,1.134336109949e-02
"                 216",-1.617205142610e-01,-1.996964772527e-01,-8.843118071233e-02,-1.112652965403e-01,1.141705791400e-02
"                 217",-1.621352002264e-01,-1.993076472691e-01,-8.819877338863e-02,-1.111088738805e-01,1.145505024594e-02
"                 218",-1.622968963411e-01,-1.987816402652e-01,-8.792026776093e-02,-1.108613725043e-01,1.147055237168e-02
"                 219",-1.623982526818e-01,-1.986702432596e-01,-8.784443857645e-02,-1.108258046832e-01,1.149068305337e-02
"                 220",-1.625843326120e-01,-1.988428690050e-01,-8.794395598014e-02,-1.108989130248e-01,1.147747852234e-02
"                 221",-1.630244585047e-01,-1.992567391761e-01,-8.816074283581e-02,-1.110959963403e-01,1.146762675224e-02
"                 222",-1.636632073274e-01,-1.997722747863e-01,-8.841408982468e-02,-1.113581849617e-01,1.147204756849e-02
"                 223",-1.643483793356e-01,-2.001798305790e-01,-8.865430968950e-02,-1.115255208895e-01,1.143560560000e-02
"                 224",-1.646589411452e-01,-2.004231903636e-01,-8.886446483095e-02,-1.115587255326e-01,1.134713035084e-02
"                 225",-1.647027278368e-01,-2.008093840992e-01,-8.914729921703e-02,-1.116620848822e-01,1.125739283257e-02
"                 226",-1.649972648289e-01,-2.013726215506e-01,-8.950675679254e-02,-1.118658647581e-01,1.117955398276e-02
"                 227",-1.655581207363e-01,-2.019126860134e-01,-8.979308878317e-02,-1.121195972302e-01,1.116325422351e-02
"                 228",-1.661223384034e-01,-2.023372138247e-01,-8.996239150473e-02,-1.123748223200e-01,1.120621540764e-02
"                 229",-1.666993480186e-01,-2.026068720012e-01,-9.005527540311e-02,-1.125515965981e-01,1.124816059749e-02
"                 230",-1.672842290989e-01,-2.029695460233e-01,-9.017996675548e-02,-1.127895792679e-01,1.130480625619e-02
"                 231",-1.678391439547e-01,-2.035318479480e-01,-9.038613448877e-02,-1.131457134593e-01,1.137978948525e-02
"                 232",-1.683525709473e-01,-2.041414427988e-01,-9.066609577491e-02,-1.134753470239e-01,1.140462562448e-02
"                 233",-1.684858483890e-01,-2.045256726970e-01,-9.088308835420e-02,-1.136425843428e-01,1.137974799431e-02
"                 234",-1.681234259544e-01,-2.044322906505e-01,-9.086767714991e-02,-1.135646135006e-01,1.134846817533e-02
"                 235",-1.676759063841e-01,-2.037917983302e-01,-9.056340171293e-02,-1.132283966173e-01,1.133249745216e-02
"                 236",-1.674935959203e-01,-2.029599143105e-01,-9.006880526614e-02,-1.128911090443e-01,1.141115188908e-02
"                 237",-1.676276570018e-01,-2.023613807230e-01,-8.959421555476e-02,-1.127671651682e-01,1.158647480673e-02
"                 238",-1.679236159760e-01,-2.018442111417e-01,-8.917412974015e-02,-1.126700814016e-01,1.174797583072e-02
"                 239",-1.681447234108e-01,-2.013193977075e-01,-8.877457373956e-02,-1.125448239679e-01,1.188512511419e-02
"                 240",-1.681940499633e-01,-2.007968957598e-01,-8.839079208669e-02,-1.124061036731e-01,1.200765579321e-02
"                 241",-1.678872624888e-01,-1.999863740985e-01,-8.792669840860e-02,-1.120596756899e-01,1.206648864065e-02
"                 242",-1.673010916072e-01,-1.991874483900e-01,-8.749839019541e-02,-1.116890581946e-01,1.209533399960e-02
"                 243",-1.669298460208e-01,-1.987034609552e-01,-8.717522027530e-02,-1.115282406799e-01,1.217651020232e-02
"                 244",-1.670867534961e-01,-1.984584713285e-01,-8.694659013643e-02,-1.115118811921e-01,1.228264552785e-02
"                 245",-1.675622594379e-01,-1.984453604326e-01,-8.681292382170e-02,-1.116324366109e-01,1.240975639458e-02
"                 246",-1.679083409261e-01,-1.985121655172e-01,-8.673194360563e-02,-1.117802219116e-01,1.252413915298e-02
"                 247",-1.679214871629e-01,-1.984208651067e-01,-8.665940046884e-02,-1.117614646379e-01,1.255103208453e-02
"                 248",-1.676331926109e-01,-1.982402744453e-01,-8.658032413712e-02,-1.116599503082e-01,1.253981308552e-02
"                 249",-1.674275677890e-01,-1.981384274408e-01,-8.649671279402e-02,-1.116417146467e-01,1.257250092637e-02
"                 250",-1.677909048298e-01,-1.981326149094e-01,-8.640452487862e-02,-1.117280900308e-01,1.266178257609e-02
"                 251",-1.687135470263e-01,-1.984327961320e-01,-8.638819260837e-02,-1.120446035236e-01,1.282820545763e-02
"                 252",-1.698665900304e-01,-1.989528172599e-01,-8.644789480099e-02,-1.125049224589e-01,1.302851382897e-02
"                 253",-1.709192073367e-01,-1.993160512245e-01,-8.647842745818e-02,-1.128376237663e-01,1.317959815405e-02
"                 254",-1.717043847593e-01,-1.994390646119e-01,-8.641943452705e-02,-1.130196300848e-01,1.330009777889e-02
"                 255",-1.723701542693e-01,-1.995380608047e-01,-8.633983872799e-02,-1.131982220767e-01,1.342919167436e-02
"                 256",-1.734215578324e-01,-1.996816943312e-01,-8.626851407128e-02,-1.134131802600e-01,1.357233309434e-02
"                 257",-1.746122093236e-01,-2.000580404266e-01,-8.631446327438e-02,-1.137435771522e-01,1.371455693893e-02
"                 258",-1.757472157195e-01,-2.007067683548e-01,-8.649606046178e-02,-1.142107078931e-01,1.385732371564e-02
"                 259",-1.767663624846e-01,-2.011202727647e-01,-8.656952002215e-02,-1.145507527425e-01,1.399061636018e-02
"                 260",-1.777589376167e-01,-2.011771905250e-01,-8.640946513625e-02,-1.147677253887e-01,1.417913012623e-02
"                 261",-1.786293961329e-01,-2.010310840102e-01,-8.607967556025e-02,-1.149514084499e-01,1.443586644484e-02
"                 262",-1.794324055128e-01,-2.007717079716e-01,-8.571219388797e-02,-1.150595140836e-01,1.467366009782e-02
"                 263",-1.800647293896e-01,-2.005938853570e-01,-8.541470734697e-02,-1.151791780100e-01,1.488223533151e-02
"                 264",-1.805606580688e-01,-2.005584641429e-01,-8.520813058490e-02,-1.153503335580e-01,1.507110148654e-02
"                 265",-1.805301952081e-01,-2.002293383199e-01,-8.495256008832e-02,-1.152767782316e-01,1.516210907165e-02
"                 266",-1.802219025620e-01,-1.996330351158e-01,-8.457102196708e-02,-1.150620131487e-01,1.524549559082e-02
"                 267",-1.799199919497e-01,-1.988702563520e-01,-8.405725426051e-02,-1.148130020915e-01,1.537787391551e-02
"                 268",-1.796994756476e-01,-1.981816511846e-01,-8.362046441527e-02,-1.145611867693e-01,1.547036117703e-02
"                 269",-1.792833770892e-01,-1.976300536601e-01,-8.330868449800e-02,-1.143213691621e-01,1.550634233207e-02
"                 270",-1.785541424726e-01,-1.971389975883e-01,-8.305664250160e-02,-1.140823550867e-01,1.551285629256e-02
"                 271",-1.774189901000e-01,-1.963226631876e-01,-8.272887196773e-02,-1.135937912198e-01,1.543245962605e-02
"                 272",-1.759969098756e-01,-1.955618139085e-01,-8.250151187435e-02,-1.130603020341e-01,1.527939507988e-02
"                 273",-1.744401300198e-01,-1.951228306949e-01,-8.247351611265e-02,-1.126493145823e-01,1.508789923480e-02
"                 274",-1.729812079932e-01,-1.947025596666e-01,-8.248415689713e-02,-1.122184027695e-01,1.486712293620e-02
"                 275",-1.715695943348e-01,-1.942912738165e-01,-8.249735200908e-02,-1.117939218075e-01,1.464828489918e-02
"                 276",-1.704149789148e-01,-1.938565231320e-01,-8.244034283668e-02,-1.114161802954e-01,1.448791872934e-02
"                 277",-1.691119920542e-01,-1.932988353286e-01,-8.238774574048e-02,-1.109110895881e-01,1.426167192380e-02
"                 278",-1.676244475684e-01,-1.927529617858e-01,-8.236946038429e-02,-1.103835014015e-01,1.400702050863e-02
"                 279",-1.660206056612e-01,-1.923062247082e-01,-8.236221920104e-02,-1.099440055071e-01,1.379089315303e-02
"                 280",-1.647306854541e-01,-1.920133873382e-01,-8.241097846801e-02,-1.096024088702e-01,1.359571520111e-02
"                 281",-1.634031659760e-01,-1.919185656066e-01,-8.256208100728e-02,-1.093564845993e-01,1.339720179600e-02
"                 282",-1.615976666822e-01,-1.919101103206e-01,-8.280681576808e-02,-1.091032945525e-01,1.314823939222e-02
"                 283",-1.595929500367e-01,-1.918649878951e-01,-8.307899935525e-02,-1.087859885398e-01,1.285349459229e-02
"                 284",-1.576880845086e-01,-1.919245799631e-01,-8.335254074285e-02,-1.085720392203e-01,1.260974923872e-02
"                 285",-1.558565294555e-01,-1.919357868665e-01,-8.350780233872e-02,-1.084279845278e-01,1.246009109453e-02
"                 286",-1.544681004297e-01,-1.918650230756e-01,-8.356765915161e-02,-1.082973639240e-01,1.236485238618e-02
"                 287",-1.533873430523e-01,-1.919599320843e-01,-8.366700383465e-02,-1.082929282497e-01,1.231296220751e-02
"                 288",-1.524653042358e-01,-1.924288042833e-01,-8.391946778145e-02,-1.085093365018e-01,1.229493436018e-02
"                 289",-1.514539078414e-01,-1.928659407633e-01,-8.420019815437e-02,-1.086657426089e-01,1.223277222725e-02
"                 290",-1.504182202707e-01,-1.934184774397e-01,-8.456033749937e-02,-1.088581399403e-01,1.214890122048e-02
"                 291",-1.493206844088e-01,-1.939702543189e-01,-8.490145287323e-02,-1.090688014456e-01,1.208367428619e-02
"                 292",-1.482716492459e-01,-1.943089100525e-01,-8.516222326600e-02,-1.091466867865e-01,1.199223176026e-02
"                 293",-1.473259324179e-01,-1.946062616090e-01,-8.539245892965e-02,-1.092138026794e-01,1.191067187485e-02
"                 294",-1.465595102268e-01,-1.947988915042e-01,-8.551509021247e-02,-1.092838012917e-01,1.188435553963e-02
"                 295",-1.460405929002e-01,-1.948013664784e-01,-8.553306826362e-02,-1.092682982148e-01,1.186761497558e-02
"                 296",-1.457839357892e-01,-1.948387523867e-01,-8.555133609264e-02,-1.092874162941e-01,1.186804010072e-02
"                 297",-1.455964451546e-01,-1.950163272239e-01,-8.563033892614e-02,-1.093859882978e-01,1.187782468582e-02
"                 298",-1.454963089092e-01,-1.950261505299e-01,-8.562963618009e-02,-1.093965143498e-01,1.188343908485e-02
"                 299",-1.453557543361e-01,-1.947935557207e-01,-8.548086654224e-02,-1.093126891784e-01,1.191591131810e-02
"                 300",-1.452487770021e-01,-1.942284088428e-01,-8.510363398715e-02,-1.091247748557e-01,1.201057043426e-02
"                 301",-1.453139524670e-01,-1.934125356504e-01,-8.459530755657e-02,-1.088172280938e-01,1.211096026862e-02
"                 302",-1.455024406304e-01,-1.927004903265e-01,-8.415390116117e-02,-1.085465891653e-01,1.219634400206e-02
"                 303",-1.455202637606e-01,-1.920795232460e-01,-8.379024833352e-02,-1.082892749125e-01,1.224951328948e-02
"                 304",-1.452476038977e-01,-1.913109758026e-01,-8.343263115446e-02,-1.078783446481e-01,1.222285674682e-02
"                 305",-1.448195027465e-01,-1.904119363883e-01,-8.299243852428e-02,-1.074194978640e-01,1.221352966987e-02
"                 306",-1.444769374277e-01,-1.895452650377e-01,-8.249784800747e-02,-1.070474170303e-01,1.227478451140e-02
"                 307",-1.443239514519e-01,-1.888600452604e-01,-8.208550711176e-02,-1.067745381487e-01,1.234451551846e-02
"                 308",-1.443147720552e-01,-1.886818514669e-01,-8.192467030315e-02,-1.067571811638e-01,1.241625543033e-02
"                 309",-1.444042794340e-01,-1.888664050358e-01,-8.190619960177e-02,-1.069602054340e-01,1.252700291614e-02
"                 310",-1.445686590161e-01,-1.889641928607e-01,-8.185435625185e-02,-1.071098366088e-01,1.262774017850e-02
"                 311",-1.444628564153e-01,-1.888021784424e-01,-8.167258374497e-02,-1.071295946974e-01,1.272850547623e-02
"                 312",-1.440780898322e-01,-1.885481105701e-01,-8.142321496700e-02,-1.071248956031e-01,1.285084031805e-02
"                 313",-1.434960518594e-01,-1.883207472678e-01,-8.123751001751e-02,-1.070832372503e-01,1.292286361638e-02
"                 314",-1.426969937890e-01,-1.883833473975e-01,-8.125649631058e-02,-1.071268510869e-01,1.293517738817e-02
"                 315",-1.415854511326e-01,-1.886401741163e-01,-8.141449299122e-02,-1.072256811251e-01,1.290559406695e-02
"                 316",-1.405307296206e-01,-1.888439469902e-01,-8.159713839880e-02,-1.072468085914e-01,1.282483509630e-02
"                 317",-1.394648601611e-01,-1.891396302942e-01,-8.184416283729e-02,-1.072954674569e-01,1.272565230979e-02
"                 318",-1.385376394885e-01,-1.895165190917e-01,-8.209777827124e-02,-1.074187408204e-01,1.266048127459e-02
"                 319",-1.379281772562e-01,-1.897437457342e-01,-8.225190449851e-02,-1.074918412357e-01,1.261996836861e-02
"                 320",-1.374039680785e-01,-1.898479984943e-01,-8.233639950834e-02,-1.075115989860e-01,1.258759973883e-02
"                 321",-1.367277748732e-01,-1.900401715398e-01,-8.247169359787e-02,-1.075684779419e-01,1.254839217203e-02
"                 322",-1.359051613257e-01,-1.902225517595e-01,-8.266780204288e-02,-1.075547497167e-01,1.244347383689e-02
"                 323",-1.352586506386e-01,-1.902220173071e-01,-8.272145216468e-02,-1.075005651424e-01,1.238955648888e-02
"                 324",-1.349681427862e-01,-1.900975794848e-01,-8.260352229490e-02,-1.074940571899e-01,1.244526744748e-02
"                 325",-1.351413569439e-01,-1.900134123379e-01,-8.248012758948e-02,-1.075332847484e-01,1.252657857947e-02
"                 326",-1.353353667308e-01,-1.899737345167e-01,-8.242290021047e-02,-1.075508343062e-01,1.256396704786e-02
"                 327",-1.354014674785e-01,-1.898961503947e-01,-8.234611102727e-02,-1.075500393674e-01,1.260196417006e-02
"                 328",-1.354628405121e-01,-1.896737606120e-01,-8.224368993355e-02,-1.074300706785e-01,1.259319037247e-02
"                 329",-1.352170347548e-01,-1.893180369614e-01,-8.210470889990e-02,-1.072133280615e-01,1.255430958078e-02
