Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 752",-1.084460136846e-01,-1.873418308703e-01,-8.301370802763e-02,-1.043281228426e-01,1.065720740751e-02
"                 753",-1.086210304626e-01,-1.875562694979e-01,-8.315456311033e-02,-1.044017063875e-01,1.062357163861e-02
"                 754",-1.089152123009e-01,-1.877826251712e-01,-8.330433085648e-02,-1.044782943147e-01,1.058698172913e-02
"                 755",-1.096374415987e-01,-1.880788973917e-01,-8.341628163299e-02,-1.046626157587e-01,1.062316706286e-02
"                 756",-1.108418681551e-01,-1.884279345973e-01,-8.347231484835e-02,-1.049556197490e-01,1.074165245030e-02
"                 757",-1.121444937476e-01,-1.888003800912e-01,-8.350694218760e-02,-1.052934379036e-01,1.089324785800e-02
"                 758",-1.128215670233e-01,-1.890695720336e-01,-8.358554956907e-02,-1.054840224645e-01,1.094923644774e-02
"                 759",-1.135124841438e-01,-1.894048394012e-01,-8.367688557229e-02,-1.057279538290e-01,1.102553412833e-02
"                 760",-1.140589431742e-01,-1.896147424632e-01,-8.370679335208e-02,-1.059079491111e-01,1.110057787952e-02
"                 761",-1.143434138761e-01,-1.896685132580e-01,-8.366936873693e-02,-1.059991445211e-01,1.116488789207e-02
"                 762",-1.145716488844e-01,-1.896249207210e-01,-8.357650915595e-02,-1.060484115650e-01,1.123595120453e-02
"                 763",-1.147022104839e-01,-1.896007903489e-01,-8.349465919889e-02,-1.061061311500e-01,1.130573597558e-02
"                 764",-1.146987018120e-01,-1.895017776444e-01,-8.339491503215e-02,-1.061068626123e-01,1.135597379006e-02
"                 765",-1.145594544406e-01,-1.894388832392e-01,-8.332827450533e-02,-1.061106087339e-01,1.139116711427e-02
"                 766",-1.142963498149e-01,-1.892809787045e-01,-8.324298324899e-02,-1.060379954555e-01,1.139750610325e-02
"                 767",-1.139912295239e-01,-1.891110750725e-01,-8.314821547140e-02,-1.059628596011e-01,1.140732206483e-02
"                 768",-1.138541321878e-01,-1.889824475419e-01,-8.305547003921e-02,-1.059269775026e-01,1.143575373172e-02
"                 769",-1.136393700031e-01,-1.888610060645e-01,-8.298401937818e-02,-1.058769866863e-01,1.144648365406e-02
"                 770",-1.132050352519e-01,-1.886935815431e-01,-8.294343218564e-02,-1.057501493575e-01,1.140335858592e-02
"                 771",-1.126345822506e-01,-1.884996427267e-01,-8.292274843217e-02,-1.055768942945e-01,1.132707293117e-02
"                 772",-1.120302382113e-01,-1.882663992685e-01,-8.290842526026e-02,-1.053579740082e-01,1.122477437398e-02
"                 773",-1.112336095769e-01,-1.879766201806e-01,-8.289628642922e-02,-1.050803337514e-01,1.109202366108e-02
"                 774",-1.104308166345e-01,-1.876587179595e-01,-8.288854151431e-02,-1.047701764452e-01,1.094081746544e-02
"                 775",-1.097082577687e-01,-1.873684271462e-01,-8.288515332538e-02,-1.044832738208e-01,1.079906024770e-02
"                 776",-1.091249655381e-01,-1.871082389948e-01,-8.289136347984e-02,-1.042168755149e-01,1.066275601754e-02
"                 777",-1.086336521762e-01,-1.868659471589e-01,-8.288559821413e-02,-1.039803489447e-01,1.054737536530e-02
"                 778",-1.082244706056e-01,-1.866169603537e-01,-8.285955607423e-02,-1.037574042795e-01,1.044892410261e-02
"                 779",-1.078091644078e-01,-1.863921251458e-01,-8.283301716362e-02,-1.035591079822e-01,1.036304540928e-02
"                 780",-1.075272636234e-01,-1.862368426654e-01,-8.282804564643e-02,-1.034087970190e-01,1.029037568628e-02
"                 781",-1.074096872277e-01,-1.861129131323e-01,-8.279584680606e-02,-1.033170663262e-01,1.026060976008e-02
"                 782",-1.075177736891e-01,-1.859774068539e-01,-8.271513065924e-02,-1.032622761946e-01,1.027357276769e-02
"                 783",-1.076659878785e-01,-1.858984791899e-01,-8.263986829107e-02,-1.032586108989e-01,1.030937130390e-02
"                 784",-1.078516563706e-01,-1.858848424785e-01,-8.259455730434e-02,-1.032902851742e-01,1.034786393491e-02
"                 785",-1.078892457982e-01,-1.858692142242e-01,-8.255532314223e-02,-1.033138910820e-01,1.037928396988e-02
"                 786",-1.079847262812e-01,-1.858814788397e-01,-8.251013192343e-02,-1.033713469163e-01,1.043060749641e-02
"                 787",-1.082424904048e-01,-1.859667900968e-01,-8.244885108748e-02,-1.035179390093e-01,1.053454396090e-02
"                 788",-1.086011512717e-01,-1.860905327461e-01,-8.238776083817e-02,-1.037027719079e-01,1.065750553488e-02
"                 789",-1.088845347233e-01,-1.862868625220e-01,-8.236852277556e-02,-1.039183397464e-01,1.077490848543e-02
"                 790",-1.091242091286e-01,-1.865482909400e-01,-8.239453302820e-02,-1.041537579118e-01,1.087961244181e-02
"                 791",-1.092577813784e-01,-1.868135860636e-01,-8.242357159499e-02,-1.043900144686e-01,1.098322143681e-02
"                 792",-1.092833035291e-01,-1.870523977230e-01,-8.245035135063e-02,-1.046020463724e-01,1.107584751086e-02
"                 793",-1.093402023548e-01,-1.873174425201e-01,-8.247350007138e-02,-1.048439424487e-01,1.118522118867e-02
"                 794",-1.096159377438e-01,-1.875961396607e-01,-8.248641970637e-02,-1.051097199543e-01,1.131165012398e-02
"                 795",-1.098618710770e-01,-1.878502408525e-01,-8.250913510887e-02,-1.053411057437e-01,1.141598531739e-02
"                 796",-1.097884274336e-01,-1.880220013543e-01,-8.255440483053e-02,-1.054675965238e-01,1.145659584662e-02
"                 797",-1.093637367239e-01,-1.881649644455e-01,-8.264092471086e-02,-1.055240397347e-01,1.144155751191e-02
"                 798",-1.088289139115e-01,-1.882775013951e-01,-8.275720467884e-02,-1.055202967162e-01,1.138154601870e-02
"                 799",-1.082127129684e-01,-1.883959809813e-01,-8.290541428705e-02,-1.054905666942e-01,1.129257620360e-02
"                 800",-1.075925868139e-01,-1.885265815501e-01,-8.308168235746e-02,-1.054448991926e-01,1.118160841759e-02
"                 801",-1.069172677542e-01,-1.886618175084e-01,-8.327223005599e-02,-1.053895874524e-01,1.105867869822e-02
"                 802",-1.063625141622e-01,-1.887836759365e-01,-8.346360155097e-02,-1.053200743855e-01,1.092823641726e-02
"                 803",-1.060103402616e-01,-1.889410689229e-01,-8.366103324765e-02,-1.052800356753e-01,1.080950121381e-02
"                 804",-1.059550465071e-01,-1.890795910051e-01,-8.381996578005e-02,-1.052596252251e-01,1.071982972250e-02
"                 805",-1.059549789026e-01,-1.891672286754e-01,-8.393089983160e-02,-1.052363288438e-01,1.065271450612e-02
"                 806",-1.058677725073e-01,-1.892168288399e-01,-8.405304441654e-02,-1.051637844234e-01,1.055537000342e-02
"                 807",-1.055318344307e-01,-1.892792954547e-01,-8.421880975221e-02,-1.050604857025e-01,1.042083797512e-02
"                 808",-1.054833251608e-01,-1.893640874086e-01,-8.435129645352e-02,-1.050127909551e-01,1.033074725079e-02
"                 809",-1.057292520404e-01,-1.894660211330e-01,-8.442456792732e-02,-1.050414532057e-01,1.030844263920e-02
"                 810",-1.059745878918e-01,-1.895321271931e-01,-8.447733149453e-02,-1.050547956986e-01,1.028873210204e-02
"                 811",-1.060354073270e-01,-1.895237634583e-01,-8.450557720824e-02,-1.050181862501e-01,1.025630452092e-02
