Time (s),Ux,Uy,Uz,k,omega,p
368,0.00202814203302,0.000477079454436,0.000417921000108,0.00159183718463,6.89688046852e-06,0.0610808389024
369,0.00203676845841,0.000480091116228,0.000417283494292,0.00159412766958,6.9123203968e-06,0.0612512900487
370,0.00202029009029,0.000480842863488,0.000415250937014,0.00159694343923,6.92795370024e-06,0.061422949523
371,0.00202816782568,0.000486195339568,0.000417098253575,0.00159924350047,6.94160879926e-06,0.0616874264187
372,0.00202557210448,0.000488456895357,0.000415743877883,0.00160192346833,6.95762399101e-06,0.0621770253838
373,0.00204532184325,0.000493164853575,0.00041851369782,0.00160424027565,6.97442544942e-06,0.0629997995416
374,0.00202650662145,0.000490734958594,0.000416329050707,0.00160716816969,6.9918124744e-06,0.0631566761529
375,0.00202647534544,0.000492554591786,0.000416550033027,0.00160927733064,7.0086289469e-06,0.0632250836853
376,0.00199947411538,0.000493056326275,0.00041398896291,0.00161189291043,7.02466672513e-06,0.0630905663225
377,0.00199220102273,0.000494033610772,0.000413129379698,0.00161438999319,7.03936221247e-06,0.0636025877685
378,0.0019484225251,0.000484248395615,0.000407114168172,0.00161676250372,7.05455169021e-06,0.0636365424592
379,0.00193810192268,0.000479927334009,0.000408369139039,0.00161969518694,7.06777141858e-06,0.0633434041496
380,0.00189063747089,0.000468221318133,0.000400704209378,0.00162183283666,7.08139693664e-06,0.0629424796381
381,0.00188771079894,0.000465094497662,0.000400228924022,0.00162453231594,7.09484065891e-06,0.0632082865561
382,0.00186261847077,0.00045889812002,0.000397387134236,0.00162681942362,7.10795593417e-06,0.062794051308
383,0.00186004979851,0.000454686083743,0.000394858217354,0.00162941312151,7.12068404051e-06,0.0623745190086
384,0.00182343846563,0.000444797445003,0.000386137266486,0.00163113261514,7.1340592788e-06,0.0621893229825
385,0.00181398904145,0.00044280671342,0.000383544625859,0.00163347971448,7.14564853284e-06,0.0617070340081
386,0.00178358067571,0.000437901589352,0.000379698672812,0.00163565257563,7.15718831691e-06,0.0618656527069
387,0.00179013129301,0.000438720689114,0.000379677101416,0.00163789239636,7.16843544319e-06,0.0616766191335
388,0.00178441991966,0.000432978661885,0.000376613759181,0.00163934022572,7.18045100708e-06,0.0617371601626
389,0.00179192646423,0.000433170317698,0.00037509036197,0.00164190735721,7.19324244591e-06,0.0615419455617
390,0.00176138013579,0.000426293256665,0.000369444203375,0.00164329939775,7.20641470191e-06,0.061435708604
391,0.00175913834128,0.000427601178198,0.000368517333746,0.00164566039512,7.220305993e-06,0.061260502271
392,0.00173878479965,0.000427373847454,0.000365886335798,0.00164740927055,7.23392992062e-06,0.0604337677284
393,0.00174175491412,0.0004281480867,0.00036553174391,0.00164924618866,7.24753902386e-06,0.0594106279661
394,0.00172402340203,0.000423831488418,0.000361261682376,0.00165057034614,7.26059564526e-06,0.0591692145672
395,0.00173026135916,0.000425439163007,0.000363481537853,0.00165238601324,7.27160232824e-06,0.0584360869921
396,0.00170726116269,0.000420840109503,0.000358208930868,0.00165382569362,7.28219575418e-06,0.0580152518665
397,0.00171110519666,0.000420872398126,0.00035809381961,0.00165558655208,7.29178089987e-06,0.0574803961991
398,0.00168086720145,0.000413440729967,0.000352944456951,0.00165672788393,7.30074548417e-06,0.0567616350968
399,0.00167337027496,0.000410948539668,0.000351931676774,0.00165829066375,7.30875693217e-06,0.0559494106432
400,0.00165187100035,0.000406382585176,0.000348835326845,0.00165930105425,7.31735311705e-06,0.0554059484714
401,0.00166774447965,0.000406746295409,0.000349988952627,0.00166117396116,7.32533619401e-06,0.0557695468989
402,0.00165049102067,0.000400151721276,0.000348303267787,0.00166225405349,7.33360334483e-06,0.0554720028913
403,0.00165692750062,0.000398073222866,0.00034642671643,0.00166360466511,7.34021657502e-06,0.0550832565397
404,0.00161880995601,0.00039068938985,0.000342666942675,0.00166460213923,7.34760209114e-06,0.0548170255864
405,0.00161880557439,0.000390091131944,0.000342758942836,0.00166629916879,7.3540972989e-06,0.0544290863464
406,0.00159719670084,0.000383466378422,0.000338768392244,0.00166686231554,7.36198257854e-06,0.0547160246299
407,0.00161404097693,0.000385889717895,0.000341560085382,0.00166874954713,7.37016869917e-06,0.0545339937065
408,0.00159742385982,0.000381746186881,0.000338953339981,0.00166896520982,7.37909437189e-06,0.0549566213162
409,0.00160749954916,0.000382741362277,0.000340477463826,0.00167037298234,7.38833583449e-06,0.0551159831626
410,0.00159646666044,0.000380491257466,0.000338772743847,0.00167113800925,7.39773216931e-06,0.0554309666383
411,0.00160945456491,0.000381459131825,0.000340096708005,0.00167211090629,7.40671436146e-06,0.0554525720362
412,0.00159325112344,0.000381335824859,0.000340128458904,0.00167268711313,7.4168190874e-06,0.0555827587181
413,0.00160698439629,0.00038245057457,0.000339373710214,0.00167406705801,7.4279476143e-06,0.0553664015723
414,0.0016044433763,0.000380264650788,0.00033776323954,0.00167419543357,7.43869453975e-06,0.0549937290944
415,0.00161942146181,0.000386984178468,0.000340076012396,0.00167545443762,7.44984047761e-06,0.0549288603695
416,0.00158368706038,0.000384889190846,0.000334512178078,0.00167570738001,7.46033929105e-06,0.055079779637
417,0.00157561450346,0.000385850867676,0.00033614327216,0.00167697230995,7.46853475728e-06,0.0547478923306
418,0.00154537645369,0.000380165539227,0.000334329175901,0.00167690442252,7.47625365117e-06,0.0545929150482
